;link;russian_name;original_name;country;film_type;rate
81;kinopoisk.ru/film/5619/;Звёздные войны: Эпизод 3 – Месть ситхов;Star Wars: Episode III - Revenge of the Sith, 2005;США;фантастика, боевик;8.3
82;kinopoisk.ru/film/775276/;Зверополис;Zootopia, 2016;США;мультфильм, комедия;8.3
83;kinopoisk.ru/film/4871/;Запах женщины;Scent of a Woman, 1992;США;драма;8.3
84;kinopoisk.ru/film/819101/;Омерзительная восьмерка;Hateful Eight, The, 2015;США;вестерн, криминал;8.3
85;kinopoisk.ru/film/399/;Храброе сердце;Braveheart, 1995;США;история, биография;8.3
86;kinopoisk.ru/film/42172/;Тайна третьей планеты;1981;СССР;мультфильм, фантастика;8.2
87;kinopoisk.ru/film/44027/;Судьба человека;1959;СССР;драма, военный;8.2
88;kinopoisk.ru/film/4996/;Общество мертвых поэтов;Dead Poets Society, 1989;США;драма, комедия;8.2
89;kinopoisk.ru/film/382/;Американская история X;American History X, 1998;США;драма;8.2
90;kinopoisk.ru/film/441/;Принцесса Мононоке;Mononoke-hime, 1997;Япония;аниме, мультфильм;8.2
91;kinopoisk.ru/film/5273/;Шрэк 2;Shrek 2, 2004;США;мультфильм, фэнтези;8.2
92;kinopoisk.ru/film/456/;Унесенные ветром;Gone with the Wind, 1939;США;мелодрама, история;8.2
93;kinopoisk.ru/film/408410/;Гран Торино;Gran Torino, 2008;США, Германия;драма;8.2
94;kinopoisk.ru/film/527/;День сурка;Groundhog Day, 1993;США;фэнтези, мелодрама;8.2
95;kinopoisk.ru/film/5277/;Мулан;Mulan, 1998;США;мультфильм, мюзикл;8.2
96;kinopoisk.ru/film/377/;Семь;Se7en, 1995;США;триллер, драма;8.2
97;kinopoisk.ru/film/437410/;Темный рыцарь: Возрождение легенды;Dark Knight Rises, The, 2012;Великобритания, США;фантастика, боевик;8.2
98;kinopoisk.ru/film/63991/;Пираты Карибского моря: Сундук мертвеца;Pirates of the Caribbean: Dead Man's Chest, 2006;США;фэнтези, боевик;8.2
99;kinopoisk.ru/film/2361/;Аладдин;Aladdin, 1992;США;мультфильм, мюзикл;8.2
100;kinopoisk.ru/film/395787/;Семь жизней;Seven Pounds, 2008;США;драма, мелодрама;8.2
101;kinopoisk.ru/film/7103/;Назад в будущее 3;Back to the Future Part III, 1990;США;фантастика, комедия;8.2
102;kinopoisk.ru/film/325381/;Вверх;Up, 2009;США;мультфильм, драма;8.2
103;kinopoisk.ru/film/835086/;Ford против Ferrari;Ford v Ferrari, 2019;США;биография, спорт;8.2
104;kinopoisk.ru/film/1309570/;Человек-паук: Нет пути домой;Spider-Man: No Way Home, 2021;США;фантастика, боевик;8.2
105;kinopoisk.ru/film/645118/;Головоломка;Inside Out, 2015;США;мультфильм, семейный;8.2
106;kinopoisk.ru/film/714248/;Песнь моря;Song of the Sea, 2014;Ирландия, Дания;мультфильм, фэнтези;8.2
107;kinopoisk.ru/film/6877/;Терминал;Terminal, The, 2004;США;драма, мелодрама;8.2
108;kinopoisk.ru/film/12198/;Игра;Game, The, 1997;США;триллер, драма;8.2
109;kinopoisk.ru/film/3797/;Адвокат дьявола;Devil's Advocate, The, 1997;США, Германия;триллер, фэнтези;8.2
110;kinopoisk.ru/film/356/;В джазе только девушки;Some Like It Hot, 1959;США;мелодрама, комедия;8.2
111;kinopoisk.ru/film/2656/;Пятый элемент;Fifth Element, The, 1997;Франция, Великобритания;фантастика, боевик;8.2
112;kinopoisk.ru/film/336/;Пролетая над гнездом кукушки;One Flew Over the Cuckoo's Nest, 1975;США;драма;8.2
113;kinopoisk.ru/film/5167/;Эффект бабочки;Butterfly Effect, The, 2003;США, Канада;фантастика, триллер;8.2
114;kinopoisk.ru/film/592260/;Эрнест и Селестина: Приключения мышки и медведя;Ernest et Célestine, 2012;Франция, Бельгия;мультфильм, фэнтези;8.2
115;kinopoisk.ru/film/7640/;Двухсотлетний человек;Bicentennial Man, 1999;США, Германия;фантастика, драма;8.2
116;kinopoisk.ru/film/408876/;Хоббит: Пустошь Смауга;Hobbit: The Desolation of Smaug, The, 2013;Новая Зеландия, США;фэнтези, приключения;8.2
117;kinopoisk.ru/film/327/;Крестный отец 2;Godfather: Part II, The, 1974;США;драма, криминал;8.2
118;kinopoisk.ru/film/46068/;Белый Бим Черное ухо;1976;СССР;драма;8.2
119;kinopoisk.ru/film/470191/;Невероятный мир глазами Энцо;Art of Racing in the Rain, The, 2019;США;драма, мелодрама;8.2
120;kinopoisk.ru/film/5928/;Один дома 2: Затерянный в Нью-Йорке;Home Alone 2: Lost in New York, 1992;США;комедия, семейный;8.2
121;kinopoisk.ru/film/963343/;Форма голоса;Koe no katachi, 2016;Япония;аниме, мультфильм;8.2
122;kinopoisk.ru/film/839/;Спирит: Душа прерий;Spirit: Stallion of the Cimarron, 2002;США;мультфильм, драма;8.2
123;kinopoisk.ru/film/920265/;Человек-паук: Через вселенные;Spider-Man: Into the Spider-Verse, 2018;США;мультфильм, фантастика;8.2
124;kinopoisk.ru/film/61237/;Железный человек;Iron Man, 2008;США, Канада;фантастика, боевик;8.2
